cid,status,filename,expected_bytes,car_bytes,local_blocks,creator_address,collection,token_id
QmZcrxXLH1QeBGa4bmejHoGxvGGC2BqxaCJ7oPxAk24hXt,partial,nft.jpg,35606918,35096186,91,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,124013
QmZjKbvcwEKUwoc7qgxSgGBdMakhuaZTLFtDsdfJHCrd49,partial,nft.png,16380719,16124955,11,0x3c9c15a8a094d0e7524068ca6de16ccc93501a7e,0x639e6d6a9713476034c46da0b3ea2122c7c2cadf,2
QmZk8Lm7czb4bww6BBAtTCcSQto6xMydA69AQJrUy3r6Vo,partial,,,147,0,0x2ea9d206784d0c3cd7002c51938275b17fa1d495,0xa9ebc35288c95d96398e52ee25cb34870c56f4aa,2
QmZneDQHB4XAHHx5egfNbRzFSqWKRsQfTBG5WT4fv5PXnN,partial,,,262474,0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,42345
Qma3KFBPoiBqbKq61JhRDqetFmY4H7cGy3Q1GFa1B66HvP,partial,nft.mp4,18117432,17862361,36,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,81533
Qma7iuVX18W9xgDr5cnMPeP3KQja6H6X6itBvKxRhDmv17,partial,nft.mp4,51574292,49496619,49,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,90343
QmaxMBnQ3WEgd1hSXppawrkTjPXGRvVHsFVZPqT1KUnyJ4,partial,nft.png,14459575,13374827,5,0xfbb605be106bce47e78b6a18773391174a99313a,0xc9069ed7d8c83117758f14b5ddb25cdc7d8d60e5,8
QmbcSoVEEpbjsBYAsqrm5H41ovxEFNYjZQDAEu8VRpgAfa,partial,nft.png,20496096,20241916,46,0x065094af6f8e06c0f0530bcf7d589e4d17608dfd,0xb47ed8f0d18e6fe7591e7e34b83f1ccaf99208a2,15
QmbkWNTyrF3me2UV3mEYALr6usETRJL4jACNwKGWHiLkuL,partial,nft.mp4,46305571,45799085,16,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,58520
Qmbu6qQhgD5yBiwKq17R9rFUYByqCRC2ppuNdXaJGcAENn,partial,nft.png,3728146,3205434,4,0xade8da425bc59779f94c28cc739d5f89a7adb9ff,0xfa5ff501975ea38a322baef9494c165fd3614d29,1
QmbyDMySd7emZLaeGKyRHcPn6AqUzFJYzeX2gQgw2uy3b4,partial,,,57,0,0xa424e457b7881f47d8b1fcd33533a376770399c4,0x71db8933816bcc987f604f91172b5a88055509c8,2
QmcGcLiK4V4KwwxYaLM6RLUAiHfg93tdBw3Vp5DfGiE3Sv,partial,nft.png,42217265,41184711,35,0xa3e43ffef9c5f045033dee7bc2a3b20483371e29,0xd4771fd3127e5bc799ceab525f0a64daaacacb5d,25
QmcUB8roMU65hZJhiQ8w38BLYbozaigrLBYbcLHjqwhK75,partial,nft.png,12904635,12647584,44,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,53482
Qmd3y5JGK1XBhwP2UuvgNYZ8AA19fhuJCZFv4ufkqm2yyU,partial,nft.jpg,7633319,6849897,1,0x9bba5829c3fd5d22b694f9436b43f1eb94de5586,0x0221b6af502a04b3e41fdf5d44e4fe965e42f236,1
QmdL2t58dVuuWFV1Up6WLo8ZsXeKiFozovSFFWsppQGuai,partial,nft.jpg,11720150,10938214,12,0x8425768886b05942570600934fefc3a0bc067f75,0xbfcd2f8b7e9460a5e14d05da156800b295bd501c,2
QmdQKAwnEB9wFrpJQ1AhyJ8vx5EyNwxS7PH8WfEdkmi7ed,partial,,,57,0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,5912
Qmdkpfkkz56LPkw8nZ73t6rpjgwZ5TcPFvEuCHQA4SYsp5,partial,nft.glb,52310584,52068573,141,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,74758
QmeKwk8yZDCAbkvCxgMzNsjqAujwgzqvn6R1aVMbVKhNaz,partial,0x097fb79cb44f85bbe8010813ab4d1b1b50438c8e/,-,71709755,78944,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,133172
QmehQriBArC3833HZzckvDFubSSzxe4UacsbK3MEZybpEf,partial,nft.mp4,22192402,21676621,15,0x15420c71285ef38b6a3f0a02aff3895dd4f74db6,0x3bcb42639500d2d850ed07440261a3beef129132,1
QmeiTwBPc87FbrEcCgf2ivNDUNWewHGXQRGQVxUJ2YvBtW,partial,,,57,0,0x73eb36d2e7bd8419036d604fa4347181a978458b,0x415ce0d94ed1d5c07bcf7b3021acbf4a5b176df3,4
QmfKSz2qTbaHNF4Bp7dqKT9sRnPndLXEkqLk5P2twvrxSv,partial,,,148,0,0xb6d63ec5929b59d66e1eeb83724878ddfd3fa65a,0xc0abb717bd9dc708ec99163626b5f6c1ea015845,14
QmPqyH5RyQy4WVTCBSEg2c9QGi7SobVDh7njXFPyiSr5T3,missing,,,0,0,0x31a0731f9c3133201bdd07c43a39ca151c89054c,0x15d329a8f350ac9a234387f840eb9f1ca65438f9,29
QmYMFs6pdk5w5gyUjnN282qMq4DbuwoVmokFapR1UK4rE3,missing,,,0,0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,42312
Qma7xbUXcw9K58CHM1fawGAKfwpSbVWxMqAv9UqU5CowV4,missing,,,0,0,0x31a0731f9c3133201bdd07c43a39ca151c89054c,0x15d329a8f350ac9a234387f840eb9f1ca65438f9,40
QmeufMY91wfc1WHpKMT85YjduDvToRZLokUMYLSZ2K3Ldb,missing,,,0,0,0x31a0731f9c3133201bdd07c43a39ca151c89054c,0x15d329a8f350ac9a234387f840eb9f1ca65438f9,31
QmfPxZRmYHjAjJNiyrXpW4aZvNG95oZ1exWNw3g8JBR1Nn,missing,,,0,0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,42265
